[Header]
Application Name	LabSolutions
Version	5.97 SP1
Data File Name	C:\LabSolutions\Data\Mark\20230322M018.lcd
Output Date	3/24/2023
Output Time	2:21:26 PM

[File Information]
Type	Data File
Generated	3/23/2023 3:40:00 AM
Generated by	System Administrator
Modified	3/23/2023 5:03:31 PM
Modified by	System Administrator

[Sample Information]
Operator Name	System Administrator
Acquired	3/23/2023 3:42:08 AM
Sample Type	0:Unknown
Level	0
Sample Name	Acetate_Mops_01_3
Sample ID	UNK-0018
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
ISTD Amount17	1
ISTD Amount18	1
ISTD Amount19	1
ISTD Amount20	1
ISTD Amount21	1
ISTD Amount22	1
ISTD Amount23	1
ISTD Amount24	1
ISTD Amount25	1
ISTD Amount26	1
ISTD Amount27	1
ISTD Amount28	1
ISTD Amount29	1
ISTD Amount30	1
ISTD Amount31	1
ISTD Amount32	1
Sample Amount	1
Dilution Factor	1
Vial#	18
Injection Volume	20

[Original Files]
Data File	C:\LabSolutions\Data\Mark\20230322M018.lcd
Method File	C:\LabSolutions\Data\Project1\_Hiro\RID\std_method_autozero.lcm
Batch File	C:\LabSolutions\Data\Mark\230322.lcb
Report Format File	C:\LabSolutions\System\Default.lsr

[File Description]


[Configuration]
Instrument Name	DESKTOP-E2RSGN6-Instrument1
Instrument #	1
Line #	1
# of Detectors	1
Detector ID	Detector A
Detector Name	Detector A
# of Channels	1

[Peak Table(Detector A)]
# of Peaks	0

[Compound Results(Detector A)]
# of IDs	3
ID#	Name	R.Time	Area	Height	Conc.	Curve	3rd	2nd	1st	Constant	Area Ratio	Height Ratio	Conc. %	Norm Conc.
1	RT5.990	0.000	0	0	0.000	Point to Point	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0	0	0.000	0.000
2	RT18.025	0.000	0	0	0.000	Point to Point	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0	0	0.000	0.000
3	RT19.921	0.000	0	0	0.000	Point to Point	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0	0	0.000	0.000

[Group Results(Detector A)]
# of Groups	0

[LC Chromatogram(Detector A-Ch1)]
Interval(msec)	500
# of Points	4801
Start Time(min)	0.000
End Time(min)	40.000
Intensity Units	mV
Intensity Multiplier	0.001
R.Time (min)	Intensity
0.00000	-247
0.00833	-247
0.01667	-80
0.02500	-1
0.03333	-1
0.04167	-2
0.05000	-3
0.05833	-4
0.06667	-5
0.07500	-6
0.08333	-7
0.09167	-8
0.10000	-9
0.10833	-10
0.11667	-11
0.12500	-12
0.13333	-13
0.14167	-14
0.15000	-14
0.15833	-15
0.16667	-16
0.17500	-17
0.18333	-18
0.19167	-19
0.20000	-20
0.20833	-21
0.21667	-22
0.22500	-23
0.23333	-24
0.24167	-25
0.25000	-26
0.25833	-27
0.26667	-28
0.27500	-28
0.28333	-29
0.29167	-30
0.30000	-31
0.30833	-32
0.31667	-33
0.32500	-34
0.33333	-35
0.34167	-36
0.35000	-37
0.35833	-38
0.36667	-39
0.37500	-40
0.38333	-41
0.39167	-42
0.40000	-43
0.40833	-44
0.41667	-45
0.42500	-46
0.43333	-47
0.44167	-48
0.45000	-49
0.45833	-49
0.46667	-50
0.47500	-51
0.48333	-52
0.49167	-53
0.50000	-54
0.50833	-55
0.51667	-56
0.52500	-57
0.53333	-58
0.54167	-59
0.55000	-60
0.55833	-60
0.56667	-61
0.57500	-62
0.58333	-63
0.59167	-64
0.60000	-65
0.60833	-65
0.61667	-66
0.62500	-67
0.63333	-68
0.64167	-69
0.65000	-70
0.65833	-72
0.66667	-72
0.67500	-73
0.68333	-74
0.69167	-75
0.70000	-76
0.70833	-77
0.71667	-77
0.72500	-78
0.73333	-79
0.74167	-80
0.75000	-81
0.75833	-82
0.76667	-82
0.77500	-83
0.78333	-84
0.79167	-85
0.80000	-86
0.80833	-87
0.81667	-88
0.82500	-89
0.83333	-90
0.84167	-91
0.85000	-91
0.85833	-92
0.86667	-93
0.87500	-94
0.88333	-95
0.89167	-96
0.90000	-97
0.90833	-98
0.91667	-99
0.92500	-99
0.93333	-100
0.94167	-101
0.95000	-103
0.95833	-104
0.96667	-105
0.97500	-106
0.98333	-107
0.99167	-108
1.00000	-109
1.00833	-110
1.01667	-111
1.02500	-111
1.03333	-112
1.04167	-113
1.05000	-113
1.05833	-114
1.06667	-115
1.07500	-116
1.08333	-117
1.09167	-118
1.10000	-118
1.10833	-119
1.11667	-119
1.12500	-120
1.13333	-121
1.14167	-122
1.15000	-123
1.15833	-124
1.16667	-125
1.17500	-126
1.18333	-127
1.19167	-128
1.20000	-129
1.20833	-130
1.21667	-132
1.22500	-133
1.23333	-134
1.24167	-135
1.25000	-136
1.25833	-137
1.26667	-138
1.27500	-139
1.28333	-140
1.29167	-141
1.30000	-142
1.30833	-143
1.31667	-145
1.32500	-145
1.33333	-146
1.34167	-147
1.35000	-148
1.35833	-149
1.36667	-150
1.37500	-151
1.38333	-152
1.39167	-153
1.40000	-154
1.40833	-155
1.41667	-156
1.42500	-157
1.43333	-157
1.44167	-158
1.45000	-159
1.45833	-160
1.46667	-161
1.47500	-162
1.48333	-163
1.49167	-164
1.50000	-165
1.50833	-166
1.51667	-166
1.52500	-167
1.53333	-168
1.54167	-169
1.55000	-170
1.55833	-171
1.56667	-173
1.57500	-174
1.58333	-174
1.59167	-175
1.60000	-176
1.60833	-177
1.61667	-178
1.62500	-179
1.63333	-180
1.64167	-181
1.65000	-182
1.65833	-183
1.66667	-184
1.67500	-184
1.68333	-185
1.69167	-186
1.70000	-186
1.70833	-187
1.71667	-188
1.72500	-189
1.73333	-191
1.74167	-192
1.75000	-193
1.75833	-194
1.76667	-194
1.77500	-195
1.78333	-195
1.79167	-196
1.80000	-197
1.80833	-198
1.81667	-198
1.82500	-199
1.83333	-200
1.84167	-201
1.85000	-202
1.85833	-203
1.86667	-204
1.87500	-205
1.88333	-205
1.89167	-206
1.90000	-207
1.90833	-208
1.91667	-209
1.92500	-210
1.93333	-210
1.94167	-211
1.95000	-212
1.95833	-213
1.96667	-213
1.97500	-214
1.98333	-215
1.99167	-216
2.00000	-216
2.00833	-217
2.01667	-217
2.02500	-218
2.03333	-219
2.04167	-220
2.05000	-221
2.05833	-221
2.06667	-222
2.07500	-223
2.08333	-224
2.09167	-225
2.10000	-226
2.10833	-227
2.11667	-227
2.12500	-228
2.13333	-229
2.14167	-230
2.15000	-231
2.15833	-232
2.16667	-233
2.17500	-234
2.18333	-235
2.19167	-236
2.20000	-236
2.20833	-237
2.21667	-238
2.22500	-239
2.23333	-240
2.24167	-241
2.25000	-242
2.25833	-243
2.26667	-244
2.27500	-245
2.28333	-246
2.29167	-247
2.30000	-248
2.30833	-249
2.31667	-250
2.32500	-250
2.33333	-251
2.34167	-252
2.35000	-253
2.35833	-254
2.36667	-254
2.37500	-255
2.38333	-256
2.39167	-257
2.40000	-258
2.40833	-259
2.41667	-260
2.42500	-261
2.43333	-262
2.44167	-263
2.45000	-264
2.45833	-265
2.46667	-266
2.47500	-266
2.48333	-267
2.49167	-268
2.50000	-269
2.50833	-270
2.51667	-271
2.52500	-272
2.53333	-274
2.54167	-275
2.55000	-275
2.55833	-276
2.56667	-277
2.57500	-278
2.58333	-278
2.59167	-279
2.60000	-280
2.60833	-281
2.61667	-282
2.62500	-283
2.63333	-284
2.64167	-285
2.65000	-286
2.65833	-287
2.66667	-288
2.67500	-289
2.68333	-290
2.69167	-290
2.70000	-291
2.70833	-292
2.71667	-293
2.72500	-294
2.73333	-295
2.74167	-297
2.75000	-298
2.75833	-299
2.76667	-300
2.77500	-301
2.78333	-302
2.79167	-302
2.80000	-303
2.80833	-305
2.81667	-306
2.82500	-307
2.83333	-307
2.84167	-308
2.85000	-310
2.85833	-311
2.86667	-312
2.87500	-313
2.88333	-314
2.89167	-315
2.90000	-316
2.90833	-317
2.91667	-318
2.92500	-318
2.93333	-319
2.94167	-319
2.95000	-320
2.95833	-321
2.96667	-322
2.97500	-323
2.98333	-324
2.99167	-325
3.00000	-326
3.00833	-327
3.01667	-327
3.02500	-328
3.03333	-329
3.04167	-330
3.05000	-331
3.05833	-332
3.06667	-334
3.07500	-335
3.08333	-335
3.09167	-336
3.10000	-338
3.10833	-339
3.11667	-340
3.12500	-341
3.13333	-342
3.14167	-342
3.15000	-343
3.15833	-344
3.16667	-344
3.17500	-345
3.18333	-346
3.19167	-347
3.20000	-348
3.20833	-349
3.21667	-350
3.22500	-351
3.23333	-352
3.24167	-352
3.25000	-353
3.25833	-355
3.26667	-356
3.27500	-356
3.28333	-357
3.29167	-358
3.30000	-359
3.30833	-360
3.31667	-361
3.32500	-362
3.33333	-363
3.34167	-364
3.35000	-365
3.35833	-366
3.36667	-366
3.37500	-367
3.38333	-368
3.39167	-369
3.40000	-370
3.40833	-371
3.41667	-372
3.42500	-373
3.43333	-374
3.44167	-375
3.45000	-376
3.45833	-377
3.46667	-378
3.47500	-379
3.48333	-380
3.49167	-381
3.50000	-382
3.50833	-383
3.51667	-384
3.52500	-384
3.53333	-385
3.54167	-386
3.55000	-387
3.55833	-388
3.56667	-389
3.57500	-389
3.58333	-390
3.59167	-391
3.60000	-392
3.60833	-394
3.61667	-395
3.62500	-396
3.63333	-397
3.64167	-398
3.65000	-399
3.65833	-400
3.66667	-401
3.67500	-401
3.68333	-402
3.69167	-403
3.70000	-404
3.70833	-405
3.71667	-406
3.72500	-407
3.73333	-408
3.74167	-409
3.75000	-410
3.75833	-411
3.76667	-412
3.77500	-413
3.78333	-414
3.79167	-414
3.80000	-415
3.80833	-416
3.81667	-417
3.82500	-418
3.83333	-419
3.84167	-420
3.85000	-421
3.85833	-422
3.86667	-422
